shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,22.500,00:00:00.000,00:00:22.500,22.500,0.00
2,22.500,24.333,00:00:22.500,00:00:24.333,1.833,9.11
3,24.333,24.792,00:00:24.333,00:00:24.792,0.458,19.70
4,24.792,46.542,00:00:24.792,00:00:46.542,21.750,22.78
5,46.542,54.000,00:00:46.542,00:00:54.000,7.458,9.44
6,54.000,65.708,00:00:54.000,00:01:05.708,11.708,9.31
7,65.708,68.083,00:01:05.708,00:01:08.083,2.375,9.65
8,68.083,82.958,00:01:08.083,00:01:22.958,14.875,9.56
9,82.958,97.583,00:01:22.958,00:01:37.583,14.625,11.08
