shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,0.417,00:00:00.000,00:00:00.417,0.417,0.00
2,0.417,37.958,00:00:00.417,00:00:37.958,37.542,8.37
