shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,12.708,00:00:00.000,00:00:12.708,12.708,0.00
2,12.708,17.583,00:00:12.708,00:00:17.583,4.875,8.11
3,17.583,59.542,00:00:17.583,00:00:59.542,41.958,8.49
4,59.542,61.208,00:00:59.542,00:01:01.208,1.667,10.17
5,61.208,73.625,00:01:01.208,00:01:13.625,12.417,13.51
6,73.625,76.625,00:01:13.625,00:01:16.625,3.000,11.82
7,76.625,116.583,00:01:16.625,00:01:56.583,39.958,9.46
