shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,10.000,00:00:00.000,00:00:10.000,10.000,0.00
2,10.000,19.750,00:00:10.000,00:00:19.750,9.750,10.10
3,19.750,24.750,00:00:19.750,00:00:24.750,5.000,10.42
4,24.750,25.333,00:00:24.750,00:00:25.333,0.583,83.14
5,25.333,74.833,00:00:25.333,00:01:14.833,49.500,83.24
