shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,15.875,00:00:00.000,00:00:15.875,15.875,0.00
2,15.875,17.083,00:00:15.875,00:00:17.083,1.208,10.30
3,17.083,18.125,00:00:17.083,00:00:18.125,1.042,9.44
4,18.125,18.958,00:00:18.125,00:00:18.958,0.833,11.16
5,18.958,22.333,00:00:18.958,00:00:22.333,3.375,8.86
