scene,slug,shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,24,144.708,146.167,00:02:24.708,00:02:26.167,1.458,9.49
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,25,146.167,164.167,00:02:26.167,00:02:44.167,18.000,8.65
Escena 12-INT. CHOZA DE YAMKO : HARUWEN DEL OESTE - DÍA,escena_12-int_choza_de_yamko_haruwen_del_oeste_-_dia,1,0.000,22.500,00:00:00.000,00:00:22.500,22.500,0.00
Escena 12-INT. CHOZA DE YAMKO : HARUWEN DEL OESTE - DÍA,escena_12-int_choza_de_yamko_haruwen_del_oeste_-_dia,2,22.500,24.333,00:00:22.500,00:00:24.333,1.833,9.11
Escena 12-INT. CHOZA DE YAMKO : HARUWEN DEL OESTE - DÍA,escena_12-int_choza_de_yamko_haruwen_del_oeste_-_dia,3,24.333,24.792,00:00:24.333,00:00:24.792,0.458,19.70
Escena 12-INT. CHOZA DE YAMKO : HARUWEN DEL OESTE - DÍA,escena_12-int_choza_de_yamko_haruwen_del_oeste_-_dia,4,24.792,46.542,00:00:24.792,00:00:46.542,21.750,22.78
Escena 12-INT. CHOZA DE YAMKO : HARUWEN DEL OESTE - DÍA,escena_12-int_choza_de_yamko_haruwen_del_oeste_-_dia,5,46.542,54.000,00:00:46.542,00:00:54.000,7.458,9.44
Escena 12-INT. CHOZA DE YAMKO : HARUWEN DEL OESTE - DÍA,escena_12-int_choza_de_yamko_haruwen_del_oeste_-_dia,6,54.000,65.708,00:00:54.000,00:01:05.708,11.708,9.31
Escena 12-INT. CHOZA DE YAMKO : HARUWEN DEL OESTE - DÍA,escena_12-int_choza_de_yamko_haruwen_del_oeste_-_dia,7,65.708,68.083,00:01:05.708,00:01:08.083,2.375,9.65
Escena 12-INT. CHOZA DE YAMKO : HARUWEN DEL OESTE - DÍA,escena_12-int_choza_de_yamko_haruwen_del_oeste_-_dia,8,68.083,82.958,00:01:08.083,00:01:22.958,14.875,9.56
Escena 12-INT. CHOZA DE YAMKO : HARUWEN DEL OESTE - DÍA,escena_12-int_choza_de_yamko_haruwen_del_oeste_-_dia,9,82.958,97.583,00:01:22.958,00:01:37.583,14.625,11.08
Escena 13- EXT. HARUWEN DEL OESTE - DÍA,escena_13-_ext_haruwen_del_oeste_-_dia,1,0.000,1.458,00:00:00.000,00:00:01.458,1.458,0.00
Escena 13- EXT. HARUWEN DEL OESTE - DÍA,escena_13-_ext_haruwen_del_oeste_-_dia,2,1.458,3.250,00:00:01.458,00:00:03.250,1.792,12.38
Escena 13- EXT. HARUWEN DEL OESTE - DÍA,escena_13-_ext_haruwen_del_oeste_-_dia,3,3.250,4.292,00:00:03.250,00:00:04.292,1.042,16.10
Escena 13- EXT. HARUWEN DEL OESTE - DÍA,escena_13-_ext_haruwen_del_oeste_-_dia,4,4.292,5.958,00:00:04.292,00:00:05.958,1.667,9.90
Escena 13- EXT. HARUWEN DEL OESTE - DÍA,escena_13-_ext_haruwen_del_oeste_-_dia,5,5.958,6.833,00:00:05.958,00:00:06.833,0.875,18.87
Escena 13- EXT. HARUWEN DEL OESTE - DÍA,escena_13-_ext_haruwen_del_oeste_-_dia,6,6.833,7.667,00:00:06.833,00:00:07.667,0.833,9.24
Escena 13- EXT. HARUWEN DEL OESTE - DÍA,escena_13-_ext_haruwen_del_oeste_-_dia,7,7.667,10.625,00:00:07.667,00:00:10.625,2.958,23.64
Escena 13- EXT. HARUWEN DEL OESTE - DÍA,escena_13-_ext_haruwen_del_oeste_-_dia,8,10.625,13.542,00:00:10.625,00:00:13.542,2.917,14.35
Escena 13- EXT. HARUWEN DEL OESTE - DÍA,escena_13-_ext_haruwen_del_oeste_-_dia,9,13.542,16.250,00:00:13.542,00:00:16.250,2.708,12.02
