shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,0.708,00:00:00.000,00:00:00.708,0.708,0.00
2,0.708,30.250,00:00:00.708,00:00:30.250,29.542,13.17
3,30.250,35.500,00:00:30.250,00:00:35.500,5.250,18.21
4,35.500,36.000,00:00:35.500,00:00:36.000,0.500,22.28
5,36.000,38.000,00:00:36.000,00:00:38.000,2.000,22.82
6,38.000,39.458,00:00:38.000,00:00:39.458,1.458,11.86
7,39.458,43.667,00:00:39.458,00:00:43.667,4.208,10.23
